,distance_af_in_pr,distance_af_in_vl,distance_af_ex_pr,distance_af_ex_vl,distance_af_in_pr2,distance_af_in_vl2,distance_af_ex_pr2,distance_af_ex_vl2
Cambodia,-0.040129525284016455,-0.010044156218126538,0.006432439892244167,0.011438402015344016,-0.02015893878148643,-0.030569977040293028,0.0050072689654081055,0.012233793790897495
Cameroon,0.007991110082894428,-0.012393284294040416,0.03630114313721461,-0.006203441976700692,0.004930852997584015,-0.008455755864181588,0.02857097731927445,0.0019819029893995183
Canada,0.0022405016229229907,-0.0009044106118626134,0.0028830311961973863,-0.0024860086340948565,0.0032618034555292564,-0.00013043434600104866,0.0025739076441443492,-0.0016220398437688742
Cape Verde,-0.019654711689797533,0.0014638922623189858,-0.02500953836558763,-0.03342476170552737,-0.015079179506603658,-0.0019478907150277797,-0.03660071799031191,-0.0245504352823653
Central African Republic,-0.05449149361354697,-0.04951008737139406,-0.015245520477523518,,-0.04368174720351039,-0.06014590178658522,0.002341091930385692,
Chile,0.00566167106017339,0.0061464114860637666,0.01532948763126635,-0.010231382480756607,0.004921300081053454,0.007477874883468163,0.01706628300825837,-0.011379082825396934
China,0.02977461780632809,0.04871002127299997,0.00202733965030691,0.02603163908023163,0.029231501316475145,0.04995368095627441,0.004020829132545923,0.022931352747019174
"China, Hong Kong SAR",-0.013015558661208518,0.008218198048087101,-0.021582108166600354,-0.01994556256579307,-0.012342713621011303,0.007115727984359512,-0.020148781881570568,-0.021041072055437444
"China, Macao SAR",0.01082940018472646,0.00984654756538821,-0.07069608836150001,-0.12574636190084154,0.012645337892967507,0.008918207832096089,-0.0762671793000128,-0.11686220778287863
Colombia,0.010947828082756092,0.010630122413348304,-0.01433743030554064,-0.01037144408163347,0.011180113126585844,0.010608211599068811,-0.01703483961054283,-0.008584956465378466
Comoros,0.08113311768951699,0.03884875190361199,,,0.08410018762342128,0.03828679518876585,,
Congo,0.03271544561527234,0.025804653867270873,-0.01723024417776853,-0.04150433686480938,0.030303251215081928,0.021425636156414213,-0.022284592864910923,-0.03767610042084114
Cook Islands,0.015421842295873105,0.056082470347770474,,,-0.010569110716744184,0.055443022799902875,,
Costa Rica,0.010593764068798295,0.010951818864981708,-0.0026940559489117078,0.0130054279384398,0.011060913619733482,0.011149433115575475,4.124172586436301e-05,0.010800714377093155
Cote d'Ivoire,-0.02269706734524803,-0.03190504839101547,0.008845760440579088,-0.024938678431278238,-0.021976140414313783,-0.03666244053405134,0.00014744566613017682,-0.015117576600459186
Croatia,0.000919391887656629,-0.007140663320413842,-0.003322021896000974,-0.011525992812641408,0.002142642789181227,-0.007276882406456198,-0.0016264186018542732,-0.014503739399661519
Cuba,-0.01990240203157065,-0.0076061976216856425,0.17743349206882622,0.2737923616667755,-0.008951148768886244,-0.01463657163790273,0.22561855048951207,0.22561026417839677
Cyprus,0.016461252052176543,-0.017128573358609404,-0.009975370252584121,-0.007769812065098305,0.013586241575935212,-0.014146238310461417,-0.009859428893507705,-0.009658933554245786
Czech Republic,-0.013953158108377101,0.0043138836959377815,-0.018344762134451485,-0.01380798210524816,-0.013584095618193702,0.0031668635842979215,-0.021736295618459817,-0.012434548747335164
