,caloric_af_in_pr,caloric_af_in_vl,caloric_af_ex_pr,caloric_af_ex_vl,caloric_af_in_pr2,caloric_af_in_vl2,caloric_af_ex_pr2,caloric_af_ex_vl2
Burundi,0.07329538938197379,0.06948393241318006,0.05116952501286402,0.07223627384824387,0.0749309033932624,0.06642839190415574,0.04156876346530051,0.08521484044226833
Byelarus,-0.004212590146068142,-0.006757468399332458,0.0015031726975270226,0.025353496306282152,-0.0008029259872499162,-0.012543041613145595,0.00982296436420956,0.020495446521396208
Cambodia,-0.031300326645186866,-0.014069928955325555,0.004611899320996581,0.007453262414825202,-0.017082669973267236,-0.028310131995650144,0.003652147514042583,0.008133669246552564
Cameroon,0.007236434959793891,-0.011373766717446065,0.03278142278586176,-0.005875264351204024,0.004754904677807078,-0.00785998511860867,0.026582950717081246,0.0011107938714102598
Canada,0.000462066080247419,-0.0026774522498619656,0.0028144741808321353,-0.001959665620716433,0.0010564504001466606,-0.0017549223004317907,0.0026905431095234733,-0.00119790326151476
Cape Verde,-0.016215508698349434,0.003200841503320985,-0.010948006796487183,-0.022389968050658765,-0.011956066569370616,-0.00027793210048707807,-0.020628775269650474,-0.013714751356595273
Central African Republic,-0.05079937905201557,-0.04964301130440174,-0.011313551717664797,,-0.042932494967047465,-0.057096462820752,0.0021162148682414873,
Chile,0.0059381768578268875,0.005739467079092247,0.013206135466467981,-0.009906895522333505,0.0050606229777268785,0.007117456836603063,0.014714796788398378,-0.010608812259490634
China,0.025555224499271306,0.04359683654769454,0.0019846452489715276,0.023018616880903633,0.0252680704427844,0.04416541442391737,0.0036903320138531566,0.020126516920193828
"China, Hong Kong SAR",-0.011216366831905465,0.007343670000303678,-0.019117669707082556,-0.018302569193778404,-0.010864513035670613,0.00637349227405645,-0.01805066572492186,-0.019086484732049373
"China, Macao SAR",0.01036783851906421,0.008744372002323116,-0.06407332420238349,-0.11170271738658684,0.011985797716030073,0.00792121815569738,-0.06873577089294261,-0.10394175575489539
Colombia,0.00889511768322711,0.009029911705278441,-0.01354272932847264,-0.010130439978602768,0.00905015469170744,0.008952893275761788,-0.01614878947097608,-0.008340183793718245
Comoros,0.07702436477184973,0.036607856424701345,,,0.07917065627045765,0.03640539618962974,,
Congo,0.03401631584677632,0.027037814955352436,-0.017219569955930606,-0.04001026063419203,0.03175342999729467,0.023489874596759042,-0.021550396387978028,-0.03644219386766135
Cook Islands,0.008150690686063024,0.05350908344419547,,,-0.014139959823117599,0.051399726354964204,,
Costa Rica,0.008776354504930087,0.009171081674672055,-0.0015475914525162067,0.012754919863647749,0.009172750013161455,0.00925323712868974,0.000582029889406875,0.010756601460368847
Cote d'Ivoire,-0.01814578707795887,-0.027479757662584915,0.0054569713396020085,-0.02145379660998665,-0.018063923592108833,-0.030443351053189568,-0.0011292433819185038,-0.01331253892501963
Croatia,0.00047941451907407284,-0.005995813297992703,-0.0032942338510359393,-0.010803397582036696,0.0017126193962544087,-0.006178676944141862,-0.001462648773926823,-0.013601995700819618
Cuba,-0.015795005480202354,-0.007661735985712613,0.13420686241917743,0.21596464761575085,-0.007553041463496337,-0.012842809943158316,0.1750906546688168,0.1750834039825915
Cyprus,0.015920371451573205,-0.013836589898029914,-0.0068731627271002935,-0.004918093630927126,0.01358952740271233,-0.011149609617786523,-0.006785141090426555,-0.006523318622962579
Czech Republic,-0.01174779058915866,0.0042625302219081495,-0.015942959198670812,-0.013360818669977835,-0.01170008952676769,0.003344553254396822,-0.019343425140528878,-0.01174898079241894
Denmark,0.0068631325568993965,0.001209641118476827,0.0037005261864060416,-0.009685497125264087,0.008050798975821198,0.0012559189736214324,0.0014640043694643056,-0.008170011805012405
Djibouti,0.0161531905650302,0.042710500025200104,0.013647186543355023,0.021970511376755538,0.03365996769566645,0.025459649384590454,0.014564556953756327,0.020318365870332346
